account,date,nav_total,nav_cash,nav_long_value,nav_liabilities,deposits,withdrawals
Juice_Ledger_Christie,2025-12-23,32972.18,17810.18,15162.0,,46244.0,13797.5
Juice_Ledger_Christie,2025-12-27,36703.61,21793.61,14910.0,,0.0,0.0
